"","SampleId","Purity_ABS","Ploidy_ABS","Purity_tumor_only","Ploidy_tumor_only","Purity_matching_normal","Ploidy_matching_normal"
"272","TCGA-29-1777-01",0.81,1.82,0.77,1.79205778836109,0.77,1.7922856348869
"273","TCGA-29-1778-01",0.7,4.67,0.61,4.61507370688612,0.61,4.61284363254428
"274","TCGA-29-1781-01",0.75,1.77,0.67,1.74705893429478,0.67,1.74711077379544
"275","TCGA-29-1783-01",0.71,3.12,0.58,3.2220699674773,0.58,3.22285852184063
"276","TCGA-29-1784-01",0.72,3.07,0.55,3.50156985746041,0.58,3.3295019642351
"277","TCGA-29-1785-01",0.88,1.94,0.85,1.88679520979456,0.85,1.88684627356273
"285","TCGA-30-1714-01",0.9,3.18,0.85,3.13773562981522,0.85,3.13801873026081
"286","TCGA-30-1718-01",0.59,5.1,0.48,3.37595646679502,0.48,3.6434937139871
"288","TCGA-30-1855-01",0.7,2.73,0.6,2.77084547184267,0.61,2.73235247968427
"289","TCGA-30-1856-01",0.89,5.09,0.44,2.86352257665885,0.44,2.87167063017659
"290","TCGA-30-1857-01",0.71,1.93,0.67,1.90769218914989,0.67,1.9076579738235
"319","TCGA-57-1586-01",0.84,2.59,0.76,2.58045909596072,0.75,2.57908181236883
"333","TCGA-61-1722-01",0.55,2.45,0.55,2.63463263195684,0.55,2.65451605247263
"334","TCGA-61-1725-01",0.83,1.91,0.78,1.92511262647955,0.79,1.92520725594851
"335","TCGA-61-1727-01",0.56,2.8,0.54,2.83539014452974,0.54,2.83487378713785
"337","TCGA-61-1730-01",0.8,3.41,0.8,3.56717307241464,0.8,3.56710158510579
"338","TCGA-61-1733-01",0.84,2.75,0.82,2.66749480391501,0.82,2.66714766668465
"340","TCGA-61-1737-01",0.76,1.89,0.65,1.84647928028725,0.61,1.86462899372695
"341","TCGA-61-1738-01",0.93,1.96,0.72,3.66287634071763,0.73,3.65975968550269
"342","TCGA-61-1740-01",0.81,1.77,0.61,3.6327904388242,0.61,3.63085817704686
"343","TCGA-61-1741-01",0.82,3.54,0.76,3.50663406784841,0.76,3.51009026416417
"344","TCGA-61-1895-01",0.65,1.79,0.63,1.80219745730619,0.64,1.80051514827492
"345","TCGA-61-1899-01",0.78,6.21,0.67,3.47796391949502,0.66,3.52275059032348
"346","TCGA-61-1900-01",0.9,2.08,0.88,2.05425949336064,0.88,2.05490119255365
"347","TCGA-61-1901-01",0.83,1.81,0.74,1.8459784971674,0.74,1.846527512412
"348","TCGA-61-1903-01",0.86,1.94,0.86,1.90053331437266,0.87,1.90081408192673
"349","TCGA-61-1904-01",0.58,3.88,0.58,3.91560813275833,0.58,3.91754508059089
"350","TCGA-61-1906-01",0.79,3.25,0.73,3.16780473878255,0.74,3.16149796599366
"351","TCGA-61-1907-01",0.76,3.32,0.72,3.28662183970726,0.72,3.28833044149555
"352","TCGA-61-1910-01",0.97,2.07,0.95,2.00980055105015,0.95,2.00998820044625
"353","TCGA-61-1911-01",0.72,2.32,0.67,2.25151673858969,0.67,2.25107700324569
"354","TCGA-61-1913-01",0.89,1.8,0.87,1.839514285804,0.87,1.84046103447287
"355","TCGA-61-1914-01",0.76,1.84,0.51,3.64260389900607,0.49,3.64428017058838
"390","TCGA-09-1670-01",NA,NA,0.74,3.26967078458465,0.74,3.27003742069377
"392","TCGA-13-0920-01",NA,NA,0.57,4.05276158566352,0.56,4.04959783333814
"393","TCGA-20-0996-01",NA,NA,0.15,1.83902543070582,0.15,1.85541840823273
"397","TCGA-04-1332-01",0.5,2.76,0.55,2.72362178026807,0.31,2.18123014338272
"411","TCGA-09-0366-01",0.68,2.87,0.71,2.9943964462318,0.71,2.99736791681652
"421","TCGA-09-1672-01",0.68,3.26,0.65,3.24003247501157,0.64,3.24077122861124
"430","TCGA-13-0723-01",0.69,3.1,0.68,3.17912267624551,0.69,3.15254696949006
"431","TCGA-13-0724-01",0.85,2.68,0.79,2.70137731216183,0.79,2.70145824284541
"451","TCGA-13-0924-01",0.63,1.81,0.59,1.77188742309121,0.59,1.77121268439161
"468","TCGA-24-0966-01",0.95,1.93,0.89,1.94297110220963,0.89,1.94288829724959
"496","TCGA-25-1316-01",1,2.72,0.87,2.76431803155139,0.88,2.7643874483899
